Canonical Name,Synonym,Outcome Domain,Subdomain,Measure,Article
"pet dat imaging([¹²³i]fp-cit, [¹¹c]mp)","pet dat imaging([¹²³i]fp-cit, [¹¹c]mp); PET DAT imaging ([¹²³I]FP-CIT, [¹¹C]MP); DAT PET imaging; dopamine transporter imaging; [¹²³I]FP-CIT SPECT; [¹¹C]MP PET; DAT SPECT; presynaptic dopamine transporter PET; DAT imaging",Imaging,,Dopamine‐transporter binding density,waerzeggersMouseModelsNeurological2010
"pet d₂ receptor imaging([¹¹c]-raclopride, [¹²³i]-ibzm, [¹⁸f]-spiperone)","pet d₂ receptor imaging([¹¹c]-raclopride, [¹²³i]-ibzm, [¹⁸f]-spiperone); PET D₂ receptor imaging; D₂ receptor PET; dopaminergic D₂ PET; [¹¹C]raclopride PET; [¹²³I]IBZM SPECT; [¹⁸F]spiperone PET; D₂ receptor occupancy PET; dopamine D₂ PET; D₂ imaging",Imaging,,Post-synaptic D₂‐receptor availability,waerzeggersMouseModelsNeurological2010
pet microglial activation([¹¹c]-pk11195),pet microglial activation([¹¹c]-pk11195); PET microglial activation; [¹¹C]PK11195 PET; TSPO PET; neuroinflammation PET; microglia PET imaging; translocator protein PET; inflammatory marker PET; neuroinflammation imaging,Imaging,,TSPO binding as a marker of microglial activation,waerzeggersMouseModelsNeurological2010
"pet of reporter enzymes (e.g., hsv1-tk)","pet of reporter enzymes (e.g., hsv1-tk); PET reporter gene imaging; PET reporter enzyme imaging; HSV1-TK PET; thymidine kinase PET; reporter enzyme PET; genetic reporter PET; viral reporter imaging; reporter-gene PET",Imaging,,Transgene‐driven tracer phosphorylation or retention (tumor cell localization),waerzeggersMouseModelsNeurological2010
pet vmat2 imaging([¹¹c]-dtbz),pet vmat2 imaging([¹¹c]-dtbz); PET VMAT2 imaging; VMAT2 PET; [¹¹C]DTBZ PET; dihydrotetrabenazine PET; [¹¹C]dihydrotetrabenazine PET; vesicular monoamine transporter PET; DTBZ PET imaging; vesicular transporter imaging,Imaging,,Vesicular monoamine‐transporter 2 binding density,waerzeggersMouseModelsNeurological2010
pharmacological mri (phmri)<br/>(amphetamine/apomorphine challenge),pharmacological mri (phmri)<br/>(amphetamine/apomorphine challenge),Imaging,,Drug-induced changes in BOLD/perfusion following DA agonist administration,waerzeggersMouseModelsNeurological2010
photoacoustic microscopy (pam),photoacoustic microscopy (pam),Imaging,,"Point‐by‐point photoacoustic signals of oxy-/deoxy-hemoglobin dynamics (and, with exogenous probes, calcium or voltage)",markicevicEmergingImagingMethods2021a
photoacoustic tomography (pat),photoacoustic tomography (pat),Imaging,,"Volumetric photoacoustic wave recordings to quantify deep-tissue hemoglobin oxygenation, blood volume, and functional activations",markicevicEmergingImagingMethods2021a
photoactivated cross-linking,photoactivated cross-linking; linking photoactivated cross; photoactivated cross-linking; photoactivated-cross-linking,Molecular & Cellular,Protein capture & immobilization,,jinNewDevelopmentsWestern2015
picric acid,picric acid; picric acid; picric-acid,Histology,Multichromatic digital imaging,Counterstain in tetrachrome for cytoplasm/nuclei contrast,musumeciPresentFutureOverview2014
pinched injection,pinched injection; pinched injection; pinched-injection,Molecular & Cellular,Sample injection control,,jinNewDevelopmentsWestern2015
place escape avoidance paradigm (peap),place escape avoidance paradigm (peap),Behavioral,Avoidance of evoked stimuli,Shift in chamber preference when painful paw is stimulated vs nonpainful paw,gregoryOverviewAnimalModels2013
plantar stepping test,plantar stepping test; stepping reflex test; paw‐placement stepping assay,Behavioral,Gross motor impairment,Presence/quality of hindlimb plantar stepping,jonesOutcomeMeasuresRodent2025
polarizing microscopy,polarizing microscopy; polarizing microscopy; polarizing-microscopy,Histology,Polarizing microscopy,"Differential birefringence of anisotropic structures (e.g., crystals, fibers)",musumeciPresentFutureOverview2014
pole test,pole test; vertical pole test; pole‐climb assay,Behavioral,Motor coordination,Latency to turn and descend a vertical pole; Time to turn (°180) and time to descend a rough vertical pole,meredithBehavioralModelsParkinsons2006; zarrukNeurologicalTestsFunctional2011
protective behaviors,protective behaviors; defense behavior assay; protective response assessment,Behavioral,Ongoing/spontaneous pain,"Frequency/duration of guarding, favoring or altered gait",sadlerInnovationsAdvancesModelling2022
prussian blue,prussian blue; prussian blue stain; prussian blue; prussian-blue,Histology,Histochemical iron identification; Histochemical iron identification; Iron (hemosiderin) identification,Bright blue ferric-iron deposits in tissues; Ferric-iron (hemosiderin) deposits—bright blue; Intensity of blue reaction in hemosiderin (iron) deposits,gurinaHistologyStaining2025; musumeciPresentFutureOverview2014; javaeedHistologicalStainsPresent2021
pvdf membrane,pvdf membrane; pvdf membrane; pvdf-membrane,Molecular & Cellular,Blotting substrate,,jinNewDevelopmentsWestern2015
radial arm maze,radial arm maze; radial arm maze (ram); radial-arm maze; RAM; spatial working memory maze,Behavioral,Spatial memory (reference & working); Spatial working/reference memory; Working memory,Errors (re‐entries into visited arms) and baited‐arm retrieval rate; Number of errors (re‐entries) in an n‐arm maze; Number of re-entries into previously visited (baited) arms indicating working memory errors,goldFunctionalAssessmentLongTerm2013; shepherdTranslationalAssaysAssessment2016; websterUsingMiceModel2014
radial arm water maze,radial arm water maze (rawm); radial-arm water maze (rawm); RAWM; spatial water maze,Behavioral,Spatial & working memory; Spatial memory (reference & working),Errors (re-entries into non-baited arms) and/or escape latency; Escape latency & arm‐entry errors,wahlCognitiveBehavioralEvaluation2017; websterUsingMiceModel2014
randall-selitto test,randall-selitto test,Behavioral,Deep-tissue mechanical hypersensitivity; Deep‐tissue mechanical sensitivity,Paw-withdrawal threshold to increasing deep-tissue pressure; Paw‐withdrawal threshold to increasing deep‐tissue pressure,gregoryOverviewAnimalModels2013; sadlerInnovationsAdvancesModelling2022
resting-state fmri,resting-state fmri; resting-state fmri (bold),Imaging,,Functional connectivity and activation patterns in motor/cognitive circuits; Low-frequency (<0.1 Hz) correlations in spontaneous BOLD fluctuations → functional connectivity networks,markicevicEmergingImagingMethods2021a; waerzeggersMouseModelsNeurological2010
reversal learning,reversal learning; reversal task; set‐shift reversal test,Behavioral,Cognitive flexibility & working memory,Trials-to-criterion & errors after contingency reversal,websterUsingMiceModel2014
reversal water maze,reversal water maze; reversal MWM; water maze reversal learning,Behavioral,Behvaioural flexibility,,shepherdTranslationalAssaysAssessment2016
reward-seeking operant responding,reward-seeking operant responding; operant reward task; reward‐driven lever‐pressing task,Behavioral,Ongoing/spontaneous pain,Lever presses or nose‐pokes for reward,sadlerInnovationsAdvancesModelling2022
rotarod test,rotarod; rotarod test; rotarod assay; rod rotation endurance test,Behavioral,Motor coordination & balance; Motor coordination & endurance; Motor coordination; Motor coordination & endurance; Motor coordination/endurance,Latency to fall (or passive rotations) on accelerating or constant‐speed rod; Latency to fall from an accelerating or constant-speed rotating rod; Time on a rotating rod before fall or two passive rotations; Latency to fall from accelerating rotating rod; Latency to fall or rotate once on accelerating/constant-speed rod; Time (sec) the animal stays on an accelerating rotating rod; Time or rpm at fall from rotating rod,burrowsAnimalModelsMultiple2019; goldFunctionalAssessmentLongTerm2013; meredithBehavioralModelsParkinsons2006; osierChronicHistopathologicalBehavioral2015; jonesOutcomeMeasuresRodent2025; xiongAnimalModelsTraumatic2013; zarrukNeurologicalTestsFunctional2011
rotating pole,rotating pole; pole rotation test; rotating‐beam assay,Behavioral,Motor coordination,"Score (0–6) based on ability to traverse rotating pole, foot slips, falls",goldFunctionalAssessmentLongTerm2013
rotating-pole,rotating-pole,Behavioral,Motor coordination,Score (0–6) based on crossing rotating pole & slips,osierChronicHistopathologicalBehavioral2015
saffron,saffron; saffron,Histology,Early simple staining,Early simple cell morphology stain,musumeciPresentFutureOverview2014
safranin,safranin; safranin,Histology,Bacterial classification,Counterstain for decolorized Gram-negative walls—pink,musumeciPresentFutureOverview2014
scape microscopy,scape microscopy; SCAPE imaging; swept confocally-aligned planar excitation microscopy,Imaging,,Volumetric ΔGCaMP imaging (>20 volumes/s) in intact samples via a swept light-sheet in one objective,markicevicEmergingImagingMethods2021a
sds-protein complex,sds-protein complex; protein complex sds; sds-protein complex; sds-protein-complex,Molecular & Cellular,Protein separation techniques,,jinNewDevelopmentsWestern2015
segmental level determination,segmental level determination; segmental spinal level determination; vertebral level mapping,Imaging,Injury level,"Spinal cord segment injured (e.g. C5, T10)",jonesOutcomeMeasuresRodent2025
seminatural environmental set-up,seminatural environmental set-up; semi-naturalistic environment paradigm; ecologically relevant enclosure,Behavioral,Social behavior,"Locomotor activity; frequency/duration of social interactions (chasing, avoidance, nesting, mating); social hierarchy measures",acikgozOverviewCurrencyUsefulness2022
sheath-flow interface,sheath-flow interface; flow interface sheath; sheath-flow interface; sheath-flow-interface,Molecular & Cellular,Separation-to-capture integration,,jinNewDevelopmentsWestern2015
silver nitrate stain,silver nitrate; silver nitrate (argentaffin) stain; nitrate stain; silver nitrate stain; silver-nitrate-stain,Histology,Reticular fiber & basement membrane; Reticular fibers & basement membranes; Reticular fibers & basement membranes,Argentaffin/argyrophilic fibers visibility; Visibility of argentaffin/argyrophilic structures; Visibility of argentaffin and argyrophilic structures,alturkistaniHistologicalStainsLiterature2016; javaeedHistologicalStainsPresent2021; musumeciPresentFutureOverview2014
silver stain,"silver stain (bielschowsky, etc.); silver stain; silver-stain",Histology,Neural lesion & protein aggregation,"Deposition of metallic silver on target proteins/lesions (neurofibrils, amyloid)",gurinaHistologyStaining2025
single pellet reaching task,single pellet reaching; single pellet reaching task; single-pellet retrieval task; skilled reaching task,Behavioral,; Skilled forelimb function (dexterity),Success rate (% pellets retrieved) and/or component scores of reach-grasp-retrieve; Success/failure rate (and component kinematics) of retrieving a food pellet through a slot,jonesOutcomeMeasuresRodent2025; xiongAnimalModelsTraumatic2013
sirius red,sirius red; sirius red; sirius-red,Histology,Collagen staining,Semi-quantitative assessment of collagen fiber content,markHistopathologyMouseMetabolic2007
slow optical scattering imaging,slow optical scattering imaging; slow optical scattering tomography; optical scattering imaging,Imaging,,Seconds-scale changes in light transmission/scattering due to activity-driven cell (glial) swelling,markicevicEmergingImagingMethods2021a
social approach  tests,social approach  tests,Behavioral,Social behavior,– T-maze variant: time sniffing at male vs. female mesh doors– Arena variant: time interacting with unfamiliar animal vs. empty cage; time in social vs. non-social zones,acikgozOverviewCurrencyUsefulness2022
social avoidance tests,social avoidance tests; social avoidance assay; social withdrawal test,Behavioral,,– T-maze variant: time sniffing at male vs. female mesh doors– Arena variant: time interacting with unfamiliar animal vs. empty cage; time in social vs. non-social zones,acikgozOverviewCurrencyUsefulness2022
social interaction test,social interaction test; direct social interaction test; dyadic social interaction assay,Behavioral,Social behavior,"Duration and frequency of chasing, sniffing (interfacial & anogenital), and active avoidance",acikgozOverviewCurrencyUsefulness2022
social odor discrimination,social odor discrimination; social scent discrimination; olfactory social discrimination test,Behavioral,Sociability,Increase in frequency of visits to novel social odor; Increase in time spent sniffing novel social odor,harrisonUnifiedBehavioralScoring2020
social propinquity,social propinquity; social proximity test; social approach distance assay,Behavioral,Sociability,Duration of double occupancy; Latency to first share; Time vacant,harrisonUnifiedBehavioralScoring2020
staircase test,staircase test; Montoya staircase test; staircase reaching test,Behavioral,Fine motor coordination & neglect,Number (or percentage) of pellets retrieved on each side; Number of pellets retrieved and eaten from descending side-staircases,xiongAnimalModelsTraumatic2013; zarrukNeurologicalTestsFunctional2011
strain-gauge forceps,strain-gauge forceps; forceps strain gauge assay; strain-gauge pinch test,Behavioral,Deep‐tissue mechanical sensitivity,Force threshold for limb withdrawal over muscle,sadlerInnovationsAdvancesModelling2022
structural mri,structural mri,Imaging,,Gray-matter volume/atrophy (voxel-based morphometry),waerzeggersMouseModelsNeurological2010
succinate dehydrogenase,succinate dehydrogenase; succinate dehydrogenase; succinate-dehydrogenase,Histology,Enzyme histochemistry,Differentiation of muscle-fiber types by oxidative enzymatic activity,markHistopathologyMouseMetabolic2007
sucrose preference test,sucrose preference test; SPT; sweet preference assay,Behavioral,Anhedonia,Percentage of total fluid consumed as sucrose solution,acikgozOverviewCurrencyUsefulness2022
sudan black,sudan black; sudan black; sudan-black,Histology,Lipid staining; Neutral lipid staining,"Dark black/brown lipid droplets; Neutral lipids (triglycerides, lipoproteins)—black/brown",gurinaHistologyStaining2025; musumeciPresentFutureOverview2014
swim test,swim test; forced swim test; Porsolt swim test,Behavioral,,Latency to swim vs. float and qualitative limb‐use during 30-min forced swim,meredithBehavioralModelsParkinsons2006
t-maze,t-maze; t-maze/y-maze alternation; T-maze arm choice; T-maze spontaneous alternation,Behavioral,Working memory,% spontaneous alternation (choice of the previously unentered arm); % spontaneous alternation between arms,shepherdTranslationalAssaysAssessment2016; websterUsingMiceModel2014
t1-weighted mri,t1-weighted mri,Imaging,,Tissue relaxation differences for anatomical detail and gross lesion/edema detection,waerzeggersMouseModelsNeurological2010
t2-weighted mri,t2-weighted mri; t2/t2-weighted mri*,Imaging,,Fluid‐sensitive contrast for oedema and tumor/invasion mapping; Hypointense foci corresponding to iron-rich Aβ deposits,waerzeggersMouseModelsNeurological2010
tail flick test,tail flick test; tail-flick assay; tail withdrawal test,Behavioral,Heat hypersensitivity,Latency to remove tail from a heat stimulus,gregoryOverviewAnimalModels2013
tail suspension test,tail suspension test; TST; tail-suspension assay,Behavioral,Depression-like behavior; Depression‐like behavior,Duration of immobility when suspended by tail; Total duration of immobility over the 6 min suspension,acikgozOverviewCurrencyUsefulness2022; goldFunctionalAssessmentLongTerm2013
targeted contrast mri,targeted contrast mri,Imaging,,Retention of Aβ-binding Gd- or USPIO-labelled probes,waerzeggersMouseModelsNeurological2010
task-based fmri,task-based fmri,Imaging,,Evoked BOLD response amplitude/latency to controlled sensory or motor stimuli,markicevicEmergingImagingMethods2021a
telepathology (digital slide sharing),telepathology (digital slide sharing); telepathology,Histology,Digital pathology,Fidelity of scanned slide images for remote diagnostic interpretation,musumeciPresentFutureOverview2014
tetrachrome (alcian blue + pas + hematoxylin + picric acid),tetrachrome (alcian blue + pas + hematoxylin + picric acid); tetrachrome,Histology,Multichromatic digital imaging,"Multicolor differentiation of mucins, carbohydrates, nuclei, and cytoplasm",javaeedHistologicalStainsPresent2021
thermal escape test,thermal escape test; hot-plate escape assay; thermal nociceptive escape test,Behavioral,Avoidance of evoked stimuli,Latency to withdraw or place preference in one of two chambers with different floor temperatures,gregoryOverviewAnimalModels2013
three-chamber social approach test,three-chambered social approach test; 3-chamber test; three-chambered sociability assay,Behavioral,Social behavior,Time spent in social vs. non-social chamber (sociability); time with novel vs. familiar conspecific (social novelty preference),acikgozOverviewCurrencyUsefulness2022
touchscreen intra-/extra-dimensional (ied) set-shifting,touchscreen intra-/extra-dimensional (ied) set-shifting,Behavioral,Executive function,Trials (or errors) to criterion on intra‐ and extra‐dimensional shifts of the rewarded stimulus dimension,shepherdTranslationalAssaysAssessment2016
touchscreen reversal learning (intra-dimensional shift),touchscreen reversal learning (intra-dimensional shift); touchscreen reversal task; intra-dimensional reversal learning,Behavioral,Executive function,Trials (or errors) to criterion after reward contingencies are switched between two visual stimuli,shepherdTranslationalAssaysAssessment2016
touchscreen-based tasks,touchscreen-based tasks; touchscreen operant tasks; touchscreen cognitive testing,Behavioral,Working memory / Executive,"% correct responses, reaction times across trials",wahlCognitiveBehavioralEvaluation2017
transection extent,transection extent; spinal cord transection extent; lesion length assessment,Histology,Injury severity,Anatomical completeness of the lesion (partial vs. full),jonesOutcomeMeasuresRodent2025
treadmill stepping,treadmill stepping; treadmill gait test; treadmill locomotion assay,Behavioral,Locomotor pattern generation,"Number of hindlimb steps, stance/swing durations under forced belt-driven speed",jonesOutcomeMeasuresRodent2025
trial-unique delayed non-matching-to-location (tunl),trial-unique delayed non-matching-to-location (tunl),Behavioral,Working memory,% correct choices of the novel location after a programmable delay; accuracy as a function of spatial separation,shepherdTranslationalAssaysAssessment2016
two-photon fluorescence imaging,two-photon fluorescence imaging; 2P fluorescence microscopy; two-photon microscopy,Imaging,,"ΔGCaMP fluorescence at depths up to ~1 mm, single-spine to population signals (FOV up to 5 mm radius)",markicevicEmergingImagingMethods2021a
ultrafast fmri (sms-epi),ultrafast fmri (sms-epi),Imaging,,"Accelerated BOLD time-series (multislice GRE-EPI, TR↓ ~¼)",markicevicEmergingImagingMethods2021a
vascular tortuosity,vascular tortuosity; vascular tortuosity; vascular-tortuosity,Histology,Microanatomical structure,Histological assessment of vessel curvature/tortuosity by light microscopy,osierChronicHistopathologicalBehavioral2015
vasculogenesis - vegf ihc (btbi),vasculogenesis - vegf ihc (btbi); vasculogenesis - vegf ihc; vasculogenesis---vegf-ihc; vegf ihc; vegf ihc (btbi) vasculogenesis,Molecular & Cellular,Inflammatory/angiogenic mediators,Elevated VEGF⁺ cell counts or signal intensity by IHC in cortex/hippocampus,osierChronicHistopathologicalBehavioral2015
ventricular enlargement,ventricular enlargement,Imaging,Macroanatomical structure,Lateral‐ventricle volume by MRI or section planimetry,osierChronicHistopathologicalBehavioral2015
vocalization assays,vocalization assays; vocalization recording; vocalization behavior assay,Behavioral,Ongoing/spontaneous pain,Number/duration of audible or ultrasonic calls,sadlerInnovationsAdvancesModelling2022
vogel conflict test,vogel conflict test,Behavioral,Anxiety-like (conflict) behavior,Number of punished drinking responses (licks paired with shock),acikgozOverviewCurrencyUsefulness2022
voltage fluorescence imaging,voltage fluorescence imaging; voltage-sensitive dye imaging; VSD imaging,Imaging,,ΔMembrane potential (Δfluorescence) via organic or genetically-encoded voltage sensors,markicevicEmergingImagingMethods2021a
von frey filament test,von frey filament test; von frey filament test (up/down),Behavioral,Mechanical hypersensitivity,Paw-withdrawal threshold to calibrated monofilaments (up/down method); Paw‐withdrawal threshold to calibrated monofilaments,gregoryOverviewAnimalModels2013; sadlerInnovationsAdvancesModelling2022
von frey response frequency,von frey response frequency,Behavioral,Mechanical hypersensitivity,Withdrawal frequency to repeated application of a single von Frey filament,gregoryOverviewAnimalModels2013
western blot,iblot; microfluidic western blot; multianalyte on-chip western; simple western (proteinsimple); snap i.d.; western blotting; western blot; western-blot,Molecular & Cellular,Automated immunodetection; Automated protein analysis; Lab-on-a-chip protein assays; Multiplexed protein detection; Protein expression analysis; Protein transfer,,jinNewDevelopmentsWestern2015
what-where-which (wwwhich),what-where-which (wwwhich); what-where-which (wwwhich) task,Behavioral,Associative memory; Episodic-like memory,"Discrimination of object identity, location, and context (episodic-like memory); Preference ratio for correct object–place–context association",shepherdTranslationalAssaysAssessment2016; websterUsingMiceModel2014
wheel running,wheel running; wheel running activity; voluntary wheel running; wheel-running activity,Behavioral,Ongoing/spontaneous pain; Quality of life & function,Distance or duration of voluntary wheel activity; Distance or duration of voluntary wheel rotations,gregoryOverviewAnimalModels2013; sadlerInnovationsAdvancesModelling2022
whisker nuisance task,whisker nuisance task; whisker nuisance assay; whisker-evoked nociception test,Behavioral,Somatosensory responsiveness,"Scored abnormal responses (posture, grooming, evasion, whisker position) to whisker stimulation",goldFunctionalAssessmentLongTerm2013
white-matter degeneration (btbi),white-matter degeneration (btbi); matter degeneration (btbi) white; white-matter degeneration; white-matter-degeneration,Histology,Microanatomical structure,Silver staining of degenerating fibers in cerebellar and other WM tracts,osierChronicHistopathologicalBehavioral2015
white-matter shrinkage,white-matter shrinkage,Imaging,Macroanatomical structure,WM volume or tract cross-section by MRI-DTI or myelin histology,osierChronicHistopathologicalBehavioral2015
wholebrain,wholebrain; whole-brain imaging; whole-brain clearing,Histology,,Automated cell-level registration and quantification of histological markers in 3D brain atlases,markicevicEmergingImagingMethods2021a
wide-field calcium imaging,wide-field calcium imaging; wide-field Ca²⁺ imaging; mesoscopic calcium imaging,Imaging,,"ΔGCaMP fluorescence across cortex (large FOV, ~20 μm/pixel)",markicevicEmergingImagingMethods2021a
wire grip test,wire grip test; wire hang test; grip strength wire assay,Behavioral,Grip strength & neuromuscular endurance,Score (0–5) based on grasping and movement on suspended wire,goldFunctionalAssessmentLongTerm2013
writhing test (acetic acid),writhing test (acetic acid); acetic acid writhing assay; abdominal constriction test,Behavioral,Visceral pain,Number of abdominal constrictions (“writhes”),gregoryOverviewAnimalModels2013; sadlerInnovationsAdvancesModelling2022
y-maze,y-maze; y-maze alternation; Y-maze; spontaneous alternation Y-maze,Behavioral,Working memory,% spontaneous alternation (entries into novel arm vs. total arm entries); % spontaneous alternation among the three arms; % spontaneous alternations and arm entry sequence,goldFunctionalAssessmentLongTerm2013; shepherdTranslationalAssaysAssessment2016; wahlCognitiveBehavioralEvaluation2017
ziehl-neelsen (acid-fast) stain,ziehl-neelsen (acid-fast) stain; fast) stain neelsen (acid ziehl; ziehl-neelsen stain; ziehl-neelsen-stain,Histology,Acid‐fast mycobacteria detection,Retention of carbol fuchsin in mycobacteria after acid‐alcohol decolorization,javaeedHistologicalStainsPresent2021
zte-cbv fmri,zte-cbv fmri,Imaging,,"CBV-weighted activation with zero-time-echo SE sequence + iron-oxide CA; CBV-weighted signal with zero-time-echo + iron-oxide CA (T₁ shortening, TE→0)",markicevicEmergingImagingMethods2021a
positron emission tomography,positron emission tomography; PET imaging; metabolic PET,Physiology,Nuclear Imaging,Standard uptake value (SUV); SUV_max; SUV_mean,custom
